LTR,Date,ExpNo1,ExpNo2,Num,RS,WDS
90,190123,1,1,38,5,0
90,190123,1,1,39,5,0
90,190123,1,1,40,5,0
90,190123,1,1,41,5,0
90,190123,1,1,42,5,0
88,190125,1,1,43,2,0
88,190125,1,1,44,5,0
88,190125,1,1,45,5,0
88,190125,1,1,46,5,0
88,190125,1,1,47,4,0
88,190125,1,1,48,5,0
90,190125,1,1,43,2,0
90,190125,1,1,44,3,0
90,190125,1,1,45,5,0
90,190125,1,1,46,5,0
90,190125,1,1,47,4,0
90,190125,1,1,48,5,0
88,190126,1,1,49,5,0
88,190126,1,1,50,5,0
88,190126,1,1,51,5,0
88,190126,1,1,52,5,0
88,190126,1,1,53,5,0
88,190126,1,1,54,5,0
90,190126,1,1,49,5,0
90,190126,1,1,50,2,0
90,190126,1,1,51,4,0
90,190126,1,1,52,5,0
90,190126,1,1,53,2,0
90,190126,1,1,54,3,0
88,190128,1,1,55,5,0
88,190128,1,1,56,5,0
88,190128,1,1,57,5,0
88,190128,1,1,58,5,0
88,190128,1,1,59,5,0
88,190128,1,1,60,5,0
90,190128,1,1,55,5,0
90,190128,1,1,56,5,0
90,190128,1,1,57,3,0
90,190128,1,1,58,5,0
90,190128,1,1,59,5,0
